outcome,n_cell_years,n_cells,scarcity_coef,se,p,effect_of_halving_usage,helps_pitcher_when_rare,sig_fdr
whiff_pct,1200,240,-0.5831319459668701,0.3690519319254386,0.11408831768741293,0.4041962642413704,True,False
csw_pct,1200,240,0.31672947055159045,0.26421990557495867,0.23063126608402285,-0.21954013951307913,False,False
rv100,1200,240,-0.0299888634860163,0.10050831724793648,0.7654192885914959,0.020786696173529292,True,False
xwobacon,1200,240,0.010547926306345247,0.003224861087000916,0.0010723776878660712,-0.007311265379997285,True,True
