game_year,pitches,pitchers,whiff_pct,csw_pct,rv100,xwobacon,velo,ivb,hb_arm
2021,11448,75,35.759,26.127,0.369,0.339,85.714,4.02,10.586
2022,11342,77,34.194,25.551,0.477,0.326,87.088,4.097,11.354
2023,16796,105,34.0,25.036,0.452,0.346,86.518,3.222,10.84
2024,22048,128,32.587,24.61,0.163,0.35,86.496,2.918,10.481
2025,24017,166,33.018,24.445,0.12,0.337,86.362,3.257,10.998
