game_year,n_pitchers,mean_entropy,median_entropy,mean_n_families,mean_top_share
2021,401,0.9716161247120644,1.0137727809776869,3.0773067331670823,0.48933794871160585
2022,386,1.0251305866219311,1.0407086614460872,3.1761658031088085,0.4583434478095401
2023,398,1.0504052247381257,1.0529224879711854,3.2437185929648242,0.45046975119385696
2024,405,1.0646960079763694,1.0692726001652253,3.3012345679012345,0.44120986443870497
2025,396,1.0866740720737837,1.0707715536438887,3.4015151515151514,0.4355452480354611
2026,398,1.1368393732779911,1.0893652136533611,3.562814070351759,0.41304173448725456
