game_year,pitches,games,game_dates,first_date,last_date,pitchers
2021,712320,2429,182,2021-04-01,2021-10-03,909
2022,710210,2430,179,2022-04-07,2022-10-05,871
2023,720684,2430,182,2023-03-30,2023-10-01,863
2024,711898,2429,185,2024-03-20,2024-09-30,855
2025,712528,2430,184,2025-03-18,2025-09-28,873
