outcome,n,n_batters,exposure_coef,exposure_se,exposure_p,pp_per_doubling,uniq_x_exposure_coef,uniq_x_exposure_p,model,sig_fdr
is_whiff,1603417,825,-0.006093236117386364,0.0005473306727615033,8.701803754094311e-29,-0.4223509435252386,,,main,True
is_csw,3362298,825,-0.003554737659372953,0.0003915225925568908,1.0930975959037488e-19,-0.24639563862246217,,,main,True
is_whiff,1484262,825,-0.0014154842696843582,0.001020939573804188,0.16560876141428738,-0.09811389306586663,-0.005743767533375782,0.0012495487985654215,with_uniqueness_interaction,False
is_csw,3094840,825,-0.0002824365853547266,0.0007086847398776046,0.6902349151514479,-0.01957701228256071,-0.004687915160704611,0.00019285002353307783,with_uniqueness_interaction,False
