outcome,n_within,n_units,within_coef,within_se,within_p,between_coef,between_se,between_p,within_sig_fdr
whiff_pct,7690,2354,1.4259235818742995,0.3450893134414351,3.595544959447939e-05,1.7752332771063648,0.3358058507909159,1.2468764778008865e-07,True
csw_pct,7690,2354,0.5706370114935715,0.1886649071215284,0.002489572085047157,0.9117026348728181,0.18297756046849112,6.273795729329766e-07,True
rv100,7690,2354,0.023488348124093436,0.034080767215597815,0.4906995702899116,0.08422853536148191,0.020138930565795066,2.8848116680750154e-05,False
xwobacon,7690,2354,-0.004556391772335615,0.001748276860708359,0.00915479985215457,-0.006449696307834105,0.0012211395567325726,1.2798864935871958e-07,True
