outcome,n,effect_p10_to_p90,p_joint_spline,r2,n_spline_terms
whiff_pct,5588,0.962719185656983,0.0,0.7385173473397801,4
csw_pct,5588,0.41093800745032283,0.0,0.46407246111509093,4
rv100,5588,0.031741955913776654,0.014901067761948094,0.14679082789169462,4
xwobacon,5588,-0.0048032937568010525,0.0,0.7659509723873781,4
