outcome,n,n_batters,seq_gap_coef,seq_gap_se,seq_gap_p,same_cell_coef,same_cell_se,same_cell_p
is_whiff,1406697,1530,-0.0032400666190537755,0.0003222875746295582,8.880528729529608e-24,0.0029099730640315194,0.001239555322022675,0.018895087248152753
is_csw,2634169,1545,-0.0022327868113669103,0.0002601538791004284,9.278304950154443e-18,0.005097534901277999,0.0010018733413720484,3.618530106992336e-07
