outcome,n,n_batters,exposure_coef,exposure_se,exposure_p,pp_per_doubling,uniq_x_exposure_coef,uniq_x_exposure_p,window_days
is_whiff,1603417,825,-0.005935800677521901,0.0006679124568148136,6.272803067862164e-19,-0.4114383503990119,,,15
is_whiff,1603417,825,-0.006152943946190779,0.0004934412126564413,1.0957023470625198e-35,-0.4264895748445522,,,60
