game_year,family,pitches,whiffs,swings,called_strikes,csw,bip,in_zone,sum_dre,n_dre,sum_xwoba,n_xwoba,whiff_pct,csw_pct,zone_pct,rv100,xwobacon,usage_share,whiff_pct_rel,league_whiff_pct,csw_pct_rel,league_csw_pct,rv100_rel,league_rv100,xwobacon_rel,league_xwobacon
2021,CH,57360,8355,29292,5703,14058,11403,22818,84.491,57360,4660.485199982988,15734,28.523146251536257,24.50836820083682,39.78033472803347,-0.1472995118549512,0.2962047286121131,11.301060163959942,4.303541813362621,24.219604438173636,-3.5309096819087706,28.03927788274559,-0.1696745564308741,0.022375044575922907,-0.01991562156018356,0.31612035017229667
2021,CU,49398,6192,19823,9264,15456,6992,21197,13.797999999999984,49398,3036.6145268393807,11367,31.23644251626898,31.28871614235394,42.91064415563383,-0.027932304951617443,0.2671430040326718,9.732387900615294,7.016838078095343,24.219604438173636,3.2494382596083504,28.03927788274559,-0.050307349527540346,0.022375044575922907,-0.048977346139624844,0.31612035017229667
2021,FC,37083,4245,18658,5565,9810,6722,18289,-52.75,37083,3033.5554121255527,9378,22.751634687533496,26.454170374565166,49.319095003101154,0.14224846964916538,0.32347573172590666,7.306088111229542,-1.4679697506401403,24.219604438173636,-1.5851075081804247,28.03927788274559,0.11987342507324247,0.022375044575922907,0.007355381553609985,0.31612035017229667
2021,FF,178782,16755,84931,32006,48761,28459,97414,223.44599999999997,178782,15177.940265477826,43304,19.727779020616737,27.273998500967657,54.48758823595217,-0.12498238077658824,0.35049741976440574,35.22360770978184,-4.4918254175569,24.219604438173636,-0.7652793817779333,28.03927788274559,-0.14735742535251115,0.022375044575922907,0.034377069592109066,0.31612035017229667
2021,FS,8053,1476,4162,621,2097,1346,2859,-26.118000000000002,8052,553.7360757765235,2250,35.46371936568957,26.039985098720972,35.50229728051658,0.3243666169895678,0.2461049225673438,1.5866010721821724,11.244114927515934,24.219604438173636,-1.9992927840246182,28.03927788274559,0.3019915724136449,0.022375044575922907,-0.07001542760495288,0.31612035017229667
2021,SI,78661,4990,35615,16263,21253,15852,42031,-6.705000000000014,78660,7334.57621562719,21168,14.010950442229397,27.01847166956942,53.43308628163893,0.008524027459954252,0.3464935853943306,15.497780571081817,-10.208653995944239,24.219604438173636,-1.0208062131761722,28.03927788274559,-0.013851017115968655,0.022375044575922907,0.030373235222033945,0.31612035017229667
2021,SLV,98226,16007,47077,14875,30882,15449,43468,-349.729,98226,6822.344458859456,25292,34.001741827219234,31.439741005436442,44.25304909087207,0.3560452426037913,0.26974317803493025,19.352474471149396,9.782137389045598,24.219604438173636,3.4004631226908515,28.03927788274559,0.33367019802786835,0.022375044575922907,-0.04637717213736642,0.31612035017229667
2022,CH,56541,8044,28751,5552,13596,11243,22026,132.30200000000005,56539,4515.915471908519,15484,27.97815728148586,24.046267310447288,38.9558019844007,-0.23400130883107242,0.2916504438070601,11.391976595886147,4.566467051479531,23.41169023000633,-3.5182420916960737,27.56450940214336,-0.21034188080307417,-0.02365942802799825,-0.021921095109869004,0.3135715389169291
2022,CU,47192,5608,19350,9192,14800,7003,20558,42.785000000000025,47192,2923.193239897498,10768,28.981912144702843,31.361247669096457,43.562468214951686,-0.09066155280556032,0.27147039746447793,9.50832421628657,5.570221914696514,23.41169023000633,3.7967382669530956,27.56450940214336,-0.06700212477756207,-0.02365942802799825,-0.042101141452451196,0.3135715389169291
2022,FC,37252,4075,18580,5685,9760,6921,18440,22.38500000000003,37252,3034.9518153259987,9321,21.932185145317547,26.199935573928915,49.500697949103404,-0.060090733383442584,0.3256036707784571,7.505596154117379,-1.4795050846887818,23.41169023000633,-1.3645738282144464,27.56450940214336,-0.03643130535544434,-0.02365942802799825,0.012032131861527962,0.3135715389169291
2022,FF,165881,15106,80284,28710,43816,27398,89925,236.56600000000012,165881,14094.430342664396,40708,18.81570424991281,26.41411614350046,54.21054852575039,-0.142611872366335,0.3462324443024564,33.42198527974726,-4.59598598009352,23.41169023000633,-1.1503932586429002,27.56450940214336,-0.11895244433833674,-0.02365942802799825,0.032660905385527295,0.3135715389169291
2022,FS,8155,1484,4371,601,2085,1467,2981,-41.84799999999999,8155,563.0263393160252,2407,33.95104095172729,25.567136725935008,36.55426118945432,0.5131575720416921,0.23391206452680732,1.643083234103598,10.539350721720965,23.41169023000633,-1.9973726762083537,27.56450940214336,0.5368170000696904,-0.02365942802799825,-0.0796594743901218,0.3135715389169291
2022,SI,75594,4580,34745,15879,20459,15750,40722,-19.45799999999994,75593,7134.844890939617,20600,13.18175277018276,27.064317273857714,53.869354710691326,0.02574047861574477,0.34635169373493285,15.230807357305626,-10.229937459823569,23.41169023000633,-0.5001921282856472,27.56450940214336,0.04939990664374302,-0.02365942802799825,0.032780154818003726,0.3135715389169291
2022,SLV,105708,16577,50869,15716,32293,17244,46710,-255.30599999999993,105706,7357.791843646778,27076,32.58762704200987,30.549248874257387,44.18776251560904,0.24152460598263098,0.27174589465381804,21.298227162553417,9.175936812003542,23.41169023000633,2.9847394721140255,27.56450940214336,0.26518403401062923,-0.02365942802799825,-0.041825644263111084,0.3135715389169291
2023,CH,55613,8145,27804,5473,13618,10684,21757,80.27199999999995,55613,4422.353984919772,14999,29.29434613724644,24.487080358908887,39.12214769927895,-0.1443403520759534,0.2948432552116656,10.660019129878071,5.554518589337473,23.739827547908966,-3.2964798302430545,27.78356018915194,-0.17476136677428122,0.03042101469832783,-0.025563481523578124,0.3204067367352437
2023,CU,45805,5798,19472,8202,14000,6971,19968,11.675999999999963,45805,3045.3579848348663,10855,29.776088742810188,30.564348870210676,43.5934941600262,-0.025490666957755623,0.28054887009072926,8.780000651719293,6.036261194901222,23.739827547908966,2.780788681058734,27.78356018915194,-0.055911681656083456,0.03042101469832783,-0.03985786664451446,0.3204067367352437
2023,FC,42236,4617,20898,6815,11432,7757,21699,-66.56200000000003,42236,3535.348300587086,10485,22.093023255813954,27.066957098210057,51.37560375035515,0.15759541623259785,0.3371815260455018,8.095887076214737,-1.6468042920950126,23.739827547908966,-0.7166030909418843,27.78356018915194,0.12717440153427,0.03042101469832783,0.016774789310258054,0.3204067367352437
2023,FF,167752,15370,80396,29525,44895,27039,91030,291.32999999999987,167748,14505.483103082073,41034,19.1178665605254,26.762721159807334,54.26462873766035,-0.17367122111739028,0.3534991251908679,32.1550631880191,-4.6219609873835665,23.739827547908966,-1.0208390293446072,27.78356018915194,-0.20409223581571811,0.03042101469832783,0.03309238845562418,0.3204067367352437
2023,FS,12258,2165,6371,917,3082,2095,4417,-57.82300000000001,12258,877.9656594205331,3484,33.98210641971433,25.142763909283733,36.03361070321423,0.47171643008647424,0.25199932819188664,2.349639733408473,10.242278871805361,23.739827547908966,-2.6407962798682085,27.78356018915194,0.44129541538814643,0.03042101469832783,-0.06840740854335708,0.3204067367352437
