outcome,n,n_batters,uniq_pct_coef,uniq_pct_se,uniq_pct_p,bucket
is_whiff,443832,1365,0.018320030578322464,0.0021033883677787674,3.0448985396962082e-18,batter_ahead
is_whiff,442643,1420,0.029881372472038006,0.0022505749735437543,3.1384271928093888e-40,even
is_whiff,206241,1393,0.028775066743496,0.003259464254101635,1.0641327990595295e-18,pitcher_ahead
is_whiff,472968,1471,0.025244389400790927,0.0020053077421920296,2.4338871061643783e-36,two_strike
