game_year,family,cell_id,pitches,n_pitchers,usage_share,balanced,whiff_pct,csw_pct,rv100,xwobacon,rv100_rel,csw_pct_rel
2021,CH,CH|44|1|3,1403,188,0.00198,True,28.49003,23.44975,-0.55652,0.29782,-0.55898,-4.37232
2021,CH,CH|44|1|4,1161,154,0.00164,True,32.78418,25.40913,-1.30474,0.29072,-1.3072,-2.41294
2021,CH,CH|44|2|2,515,105,0.00073,False,24.51362,23.30097,0.58194,0.31773,0.57948,-4.5211
2021,CH,CH|44|2|3,1200,183,0.00169,True,26.52705,23.08333,-0.28,0.29945,-0.28246,-4.73874
2021,CH,CH|44|2|4,690,124,0.00097,True,28.36676,22.75362,-1.65333,0.33103,-1.65579,-5.06845
2021,CH,CH|45|1|3,567,80,0.0008,True,26.31579,22.57496,-0.506,0.28154,-0.50845,-5.24712
2021,CH,CH|45|2|3,527,84,0.00074,False,24.22907,21.25237,-0.7814,0.31112,-0.78386,-6.5697
2021,CU,CU|36|-4|-3,513,68,0.00072,False,25.15723,33.7232,-0.05828,0.25619,-0.06074,5.90113
2021,CU,CU|36|-4|-4,530,49,0.00075,False,30.13699,33.39623,1.04547,0.27496,1.04301,5.57415
2021,CU,CU|37|-3|-3,544,109,0.00077,False,20.96774,29.04412,-2.35221,0.38578,-2.35466,1.22205
2021,CU,CU|37|-4|-2,587,91,0.00083,False,24.60733,30.32368,-1.51175,0.33854,-1.51421,2.50161
2021,CU,CU|37|-4|-3,764,122,0.00108,False,29.01961,32.98429,-0.46924,0.30187,-0.4717,5.16222
2021,CU,CU|38|-2|-3,524,89,0.00074,False,27.47253,38.35878,0.09427,0.28872,0.09182,10.53671
2021,CU,CU|38|-3|-2,665,141,0.00094,False,23.68421,32.93233,-0.25925,0.32946,-0.26171,5.11026
2021,CU,CU|38|-3|-3,912,156,0.00129,True,26.66667,34.21053,-0.98366,0.31192,-0.98612,6.38845
2021,CU,CU|38|-3|-4,733,100,0.00103,True,29.01961,36.01637,1.0101,0.23923,1.00764,8.1943
2021,CU,CU|38|-4|-2,858,123,0.00121,False,27.74194,29.83683,-0.49231,0.30748,-0.49477,2.01476
2021,CU,CU|38|-4|-3,1129,151,0.00159,True,27.25,33.74668,-0.65111,0.2932,-0.65357,5.92461
2021,CU,CU|38|-5|-3,523,69,0.00074,False,26.40449,26.57744,-0.5956,0.2639,-0.59806,-1.24463
2021,CU,CU|39|-2|-1,534,79,0.00075,False,26.16822,30.89888,0.4676,0.27178,0.46514,3.0768
2021,CU,CU|39|-2|-2,698,143,0.00099,True,19.14191,26.9341,-0.83553,0.31562,-0.83799,-0.88797
2021,CU,CU|39|-2|-3,667,123,0.00094,False,25.78125,30.73463,-0.13568,0.25346,-0.13814,2.91256
2021,CU,CU|39|-2|-4,503,77,0.00071,False,24.86188,31.61034,0.41133,0.28102,0.40887,3.78827
2021,CU,CU|39|-3|-2,1082,161,0.00153,True,23.80952,29.94455,0.06969,0.28788,0.06723,2.12248
2021,CU,CU|39|-3|-3,1299,166,0.00183,True,28.82012,31.48576,0.47798,0.23882,0.47552,3.66369
2021,CU,CU|39|-3|-4,1114,119,0.00157,True,31.65618,32.31598,-0.53932,0.25135,-0.54178,4.49391
2021,CU,CU|39|-4|-2,1084,142,0.00153,True,24.87805,27.67528,-1.91144,0.37467,-1.9139,-0.1468
2021,CU,CU|39|-4|-3,1479,163,0.00209,True,25.87065,28.26234,-1.17431,0.27482,-1.17677,0.44027
2021,CU,CU|39|-4|-4,709,101,0.001,True,38.73239,31.02962,0.4378,0.27634,0.43534,3.20755
2021,CU,CU|39|-5|-2,585,75,0.00083,False,27.06422,25.81197,-1.03128,0.26292,-1.03374,-2.01011
2021,CU,CU|39|-5|-3,599,76,0.00085,False,28.93617,30.71786,0.4399,0.22,0.43744,2.89579
2021,CU,CU|40|-2|-1,750,92,0.00106,True,32.21477,30.13333,-0.81213,0.28721,-0.81459,2.31126
2021,CU,CU|40|-2|-2,653,130,0.00092,True,28.62595,28.0245,-0.20291,0.27517,-0.20537,0.20243
2021,CU,CU|40|-2|-3,583,124,0.00082,True,27.48092,30.70326,-0.63688,0.28635,-0.63934,2.88119
2021,CU,CU|40|-3|-2,1186,143,0.00167,True,27.95276,29.76391,-0.06214,0.28459,-0.0646,1.94184
2021,CU,CU|40|-3|-3,1292,143,0.00182,True,29.00901,29.02477,-0.09497,0.27619,-0.09743,1.2027
2021,CU,CU|40|-3|-4,786,87,0.00111,True,34.62687,33.07888,2.0112,0.23986,2.00874,5.25681
2021,CU,CU|40|-4|-2,1178,118,0.00166,True,26.34731,29.11715,-0.36961,0.27941,-0.37207,1.29508
2021,CU,CU|40|-4|-3,1339,135,0.00189,True,34.36364,31.66542,0.30127,0.24548,0.29881,3.84335
2021,CU,CU|40|-4|-4,593,76,0.00084,False,36.39706,34.06408,1.64047,0.21347,1.63801,6.24201
2021,CU,CU|41|-2|-1,508,63,0.00072,False,33.64486,31.29921,-0.96811,0.26328,-0.97057,3.47714
2021,CU,CU|41|-3|-2,958,98,0.00135,True,27.49392,28.70564,-0.06461,0.31369,-0.06707,0.88356
2021,CU,CU|41|-3|-3,799,98,0.00113,True,30.65903,28.91114,-0.77885,0.31544,-0.78131,1.08907
2021,CU,CU|41|-4|-2,833,76,0.00118,True,31.23288,27.13085,-0.09856,0.2862,-0.10102,-0.69122
2021,CU,CU|41|-4|-3,914,80,0.00129,True,40.04739,34.13567,0.52538,0.23254,0.52292,6.3136
2021,FC,FC|41|1|-1,524,54,0.00074,False,20.24793,29.38931,-1.62653,0.33575,-1.62898,1.56724
2021,FC,FC|42|0|-1,606,70,0.00086,False,25.64103,27.55776,0.62475,0.31234,0.62229,-0.26432
2021,FC,FC|42|0|-2,619,88,0.00087,False,30.18293,29.56381,0.60097,0.25547,0.59851,1.74174
2021,FC,FC|42|1|-1,1428,110,0.00202,True,20.17167,25.98039,0.02003,0.34086,0.01757,-1.84168
2021,FC,FC|42|1|-2,1289,98,0.00182,True,22.70742,26.76493,-0.92995,0.35425,-0.9324,-1.05714
