family,usage_share_start,usage_share_end,usage_change_pp,rv100_rel_start,rv100_rel_end,rv100_rel_change,pitches_end
CH,10.257470260628835,10.257470260628835,0.0,-0.26906771082011244,-0.26906771082011244,0.0,22083
CU,7.733862239707925,7.733862239707925,0.0,-0.42907481261012403,-0.42907481261012403,0.0,16650
FC,7.717604871636467,7.717604871636467,0.0,0.20951062567197382,0.20951062567197382,0.0,16615
FF,31.61082647814313,31.61082647814313,0.0,-0.039067432320085936,-0.039067432320085936,0.0,68054
FS,3.8785435256192895,3.8785435256192895,0.0,0.5482568460337874,0.5482568460337874,0.0,8350
SI,15.634943122436562,15.634943122436562,0.0,0.07402174919232,0.07402174919232,0.0,33660
SLV,23.16674950182779,23.16674950182779,0.0,0.1041570668742768,0.1041570668742768,0.0,49875
