adopted_year,n_adopters,ch_before,ch_after,ch_drop_pp
2022,7,0.0446,0.0149,-2.9721
2023,8,0.0695,0.0231,-4.6444
2024,14,0.0391,0.0058,-3.3328
2025,12,0.0781,0.0152,-6.294
