family,n_features,median_pct_change,lo_pct,hi_pct,p_boot,n_base,n_final,sig_fdr
SI,8,-7.499054032380414,-17.996011679630044,8.26691861404651,0.317,251,296,False
FC,8,-4.535215477453108,-11.944580553037621,5.156380973563481,0.388,140,169,False
SLV,8,-1.239705577022221,-8.732879316046718,7.432373677862275,0.659,401,449,False
CU,8,-0.9180294936863065,-8.158795891829381,5.9333775235884785,0.683,218,190,False
CH,8,1.4916837545405293,-6.941531033693213,10.528188886140342,0.762,247,226,False
FF,8,3.033396025028645,-4.636130631118777,10.22742432804183,0.444,517,499,False
