family,feature,game_year,n_pitchers,median,sd,sd_lo,sd_hi,iqr,iqr_lo,iqr_hi,robust_cv,robust_cv_lo,robust_cv_hi,mad,mad_lo,mad_hi
CH,release_speed,2023,237,85.8,2.995850085075403,2.7354218112836244,3.2289651945631084,4.299999999999997,3.5,4.900000000000006,0.036287412587412735,0.031102591279500432,0.04161684210526325,3.1134600000000123,2.6686799999999957,3.558240000000008
CH,release_speed,2024,213,85.6,3.0786427405762926,2.7826213406518603,3.34867098078869,4.200000000000003,3.5,4.900000000000006,0.03637219626168239,0.029581527355811352,0.04335087719298245,3.1134600000000123,2.520420000000004,3.7064999999999997
CH,release_speed,2025,226,86.5,3.2897294437652485,2.927520246565472,3.6373864780770693,3.8874999999999886,3.4000000000000057,4.55062500000001,0.034279768786127165,0.02913780346820814,0.03858928146453089,2.9652,2.520420000000004,3.3358499999999998
CH,ivb,2023,237,5.5200000000000005,3.62731788156835,3.288652287783543,3.9396309010624986,4.680000000000001,4.080000000000001,5.5200000000000005,0.6446086956521737,0.5446285714285715,0.7750150449260043,3.558239999999999,3.024504,4.091976
CH,ivb,2024,213,5.04,3.9015806604860845,3.5499985095631144,4.223297831277366,5.16,4.56,6.24,0.8119,0.6123782608695651,0.9883999999999998,4.091976,3.202416000000001,4.714668
CH,ivb,2025,226,4.38,3.855341000493795,3.4950326521952655,4.15192344627381,5.37,4.859625000000001,6.24,0.9139315068493151,0.7982535365853657,1.1759285062182023,4.00302,3.5582400000000005,4.625712000000001
CH,hb_arm,2023,237,14.76,2.568762367112082,2.1609151879099757,2.9875014723193933,2.7600000000000016,2.400000000000002,3.24,0.1386170731707318,0.1195645161290322,0.16541404958677677,2.0459880000000013,1.779119999999999,2.4018119999999987
CH,hb_arm,2024,213,14.64,2.5398922871233496,2.0766715366291133,3.024834416306653,2.700000000000003,2.280000000000001,3.4800000000000004,0.13975327868852483,0.11027603305785143,0.1744604835493517,2.0459880000000035,1.6012080000000026,2.4907680000000045
CH,hb_arm,2025,226,14.76,2.261079529155961,2.0139291288058594,2.488918040533647,2.880000000000001,2.280000000000003,3.240000000000002,0.1446439024390247,0.11450975609756102,0.16540193338977105,2.1349440000000044,1.6901640000000007,2.4462899999999976
CH,release_spin_rate,2023,237,1738.5,267.65390888822316,242.27041183404612,292.9283480700458,398.5,327.0,441.5,0.15990077653149268,0.1334554558610709,0.18528177099740079,277.9875,230.5443,325.4307
CH,release_spin_rate,2024,213,1781.0,273.37122362007017,243.64744509373227,301.5447285478051,395.5,349.0,443.0,0.16732318921953956,0.13229316595099072,0.19188349141118538,298.0026,234.2508,343.9632
CH,release_spin_rate,2025,226,1798.0,291.9110638257381,261.1560979416942,321.2727508110763,395.125,349.125,465.759375,0.1655350111234705,0.14433961437818482,0.19200980203967719,297.63194999999996,259.07508375,344.33385
CH,release_extension,2023,237,6.4,0.4108066068428095,0.37364133196214355,0.4476310228346287,0.5,0.5,0.7000000000000002,0.06949687499999996,0.04561846153846157,0.06949687500000015,0.44477999999999973,0.29652000000000023,0.444780000000001
CH,release_extension,2024,213,6.4,0.4014578359079194,0.3589067795777685,0.4368129333368148,0.5,0.39999999999999947,0.6000000000000005,0.06949687499999996,0.04561846153846157,0.06949687500000015,0.44477999999999973,0.29652000000000023,0.444780000000001
CH,release_extension,2025,226,6.4,0.3825757551861381,0.34665765122131875,0.41735074573495584,0.5,0.39999999999999947,0.6000000000000005,0.04633125000000003,0.04561846153846157,0.06949687499999996,0.29652000000000023,0.29652000000000023,0.44477999999999973
CH,release_pos_z,2023,237,5.77,0.44736299255437034,0.3961643316991521,0.4955521471555301,0.5299999999999994,0.4448749999999994,0.6399999999999997,0.06423743500866551,0.0566246298201908,0.0804521691850284,0.37065,0.32617199999999963,0.4597913250000006
CH,release_pos_z,2024,213,5.74,0.4468013712652571,0.3905426371242654,0.49588389122404125,0.5199999999999996,0.4349999999999996,0.6101249999999994,0.06973902439024378,0.05692356020942423,0.07933328449686405,0.4003019999999993,0.32617199999999963,0.4596059999999994
CH,release_pos_z,2025,226,5.73,0.43337492652665804,0.377685563873593,0.4893018244789124,0.4200000000000008,0.3724375000000005,0.5324999999999998,0.05433612565445047,0.047950700062552136,0.06821137736886394,0.31134600000000123,0.2742810000000007,0.3856613250000008
