uniq_pct,whiff_prob
0.05084745762711865,-0.21411653413616064
0.08832365702156882,-0.2115161358960629
0.12579985641601898,-0.20812328082937318
0.16327605581046917,-0.20414412460369652
0.20075225520491932,-0.20744171763653907
0.2382284545993695,-0.20666143983535895
0.27570465399381966,-0.20485501906919001
0.31318085338826984,-0.20268545488666467
0.35065705278271997,-0.2028172297578215
0.3881332521771702,-0.20278747385553433
0.42560945157162033,-0.20068857269660376
0.46308565096607046,-0.19735420694398084
0.5005618503605207,-0.19775243347840288
0.5380380497549708,-0.19761609191798146
0.575514249149421,-0.1989442383533596
0.6129904485438712,-0.2002483389577636
0.6504666479383213,-0.2021021555594079
0.6879428473327714,-0.18652352685444137
0.7254190467272217,-0.1844438701223696
0.7628952461216718,-0.15749192427371708
0.800371445516122,-0.15388582676147575
0.8378476449105722,-0.15392360453464826
0.8753238443050223,-0.1402729941575026
0.9128000436994725,-0.1442068680481625
0.9502762430939227,-0.14712674984872046
