pitcher,pitcher_name,deathballs,velo,ivb,hb,whiff_pct
650911,"Sánchez, Cristopher",278,86.71,-4.35,-1.03,47.9
669302,"Gilbert, Logan",244,86.79,-3.44,-0.48,39.7
656550,"Holmes, Grant",205,85.91,-4.36,-1.34,50.5
689546,"Davila, Nicholas",167,87.54,-5.03,-0.34,12.7
656288,"Canning, Griffin",160,87.84,-4.66,-0.19,36.1
808963,"Sasaki, Roki",143,86.62,-3.31,-0.89,40.0
672282,"Detmers, Reid",141,86.42,-4.6,-2.07,40.0
676974,"Meyer, Max",140,90.21,-3.75,-0.86,38.2
690925,"Beeter, Clayton",104,86.95,-5.8,-1.14,35.2
