family,delta_log_det,lo,hi,p_boot,equiv_linear_pct,sig_fdr
CH,0.5278221668807448,-0.644843079536029,1.74148070241748,0.355,6.82029716687671,False
CU,-0.5319819191222905,-1.544509540250298,0.373988107222067,0.229,-6.43349694404346,False
FC,-1.2661174469194532,-2.3316391220921235,0.032190771033980194,0.06,-14.637618582433676,False
FF,-0.7987890215649178,-1.5777048052489402,0.00847566014261743,0.054,-9.502560427192542,False
SI,-1.6840271871785306,-3.980491822909305,0.6652904212708063,0.204,-18.982369815230072,False
SLV,-0.6031963561960039,-1.7017320162544216,0.7871680602054758,0.371,-7.262711446086245,False
