outcome,n_cell_years,n_cells,scarcity_coef,se,p,effect_of_halving_usage,helps_pitcher_when_rare,sig_fdr
whiff_pct,984,164,-0.46951883834900393,0.39360238088431465,0.2329179351984828,0.3254456590213928,True,False
csw_pct,984,164,0.30770000343870874,0.2823410692240602,0.27579390994589614,-0.21328138984182643,False,False
rv100,984,164,0.0768139423906189,0.11131799170754142,0.49016860726247036,-0.05324336759575155,False,False
xwobacon,984,164,0.00887281925322744,0.004237888394160747,0.03628771577352375,-0.006150169648992599,True,False
