family,n_features,median_pct_change,lo_pct,hi_pct,p_boot,n_base,n_final,sig_fdr
SI,8,-11.884296018143148,-23.557962112635508,6.010215978361015,0.221,216,277,False
FC,8,-4.885688164755547,-14.26324029735819,4.387303279376265,0.299,115,149,False
FF,8,-2.80276421916425,-10.842927303485347,4.497651574882832,0.378,442,416,False
CU,8,-2.5230431025629665,-11.525044046601945,5.6509316954181115,0.424,181,156,False
SLV,8,-1.3606026087981227,-9.356049111814041,8.497704281360678,0.693,329,383,False
CH,8,5.5237658730142964,-4.947482045895137,15.404712906833954,0.342,194,214,False
