family,feature,stat,pct_change,lo_pct,hi_pct,p_boot,brown_forsythe_stat,brown_forsythe_p,theil_sen_slope_per_year,n_base,n_final,sig_fdr
CH,release_speed,sd,3.1290532741911514,-12.648492161478018,20.03589555467443,0.687,0.32096722770721436,0.9005441302093455,0.020179523366255725,194,214,False
CH,release_speed,iqr,6.148867313915796,-21.646217986897206,41.74999999999956,0.731,0.32096722770721436,0.9005441302093455,0.029166666666663826,194,214,False
CH,ivb,sd,5.283935028187892,-8.982378852771962,21.504996576228468,0.511,0.3180207685096355,0.9023243397288367,0.015537911925816328,194,214,False
CH,ivb,iqr,9.22190201729105,-18.755933544303787,40.13617418798503,0.556,0.3180207685096355,0.9023243397288367,0.125,194,214,False
CH,hb_arm,sd,-3.092856952224432,-17.109873920917,14.150129737869644,0.678,0.8264116390473916,0.5308559757970623,0.03350985967200781,194,214,False
CH,hb_arm,iqr,-5.551115123125783e-14,-19.067796610169466,28.735632183908045,1.0,0.8264116390473916,0.5308559757970623,0.05000000000000012,194,214,False
CH,release_spin_rate,sd,22.1383174195495,4.969124776793221,43.13396593858254,0.006,2.489732074922849,0.029734292302784692,11.307040350607053,194,214,False
CH,release_spin_rate,iqr,24.838587162932015,0.46561255369444493,54.84178000757781,0.045,2.489732074922849,0.029734292302784692,16.35,194,214,False
CH,release_extension,sd,-5.456826098117428,-18.859610510934598,10.11965802207318,0.48,0.9332960936010781,0.45836843023433893,-0.005882322649566896,194,214,False
CH,release_extension,iqr,-16.666666666666618,-42.85714285714287,2.5641025641025994,0.327,0.9332960936010781,0.45836843023433893,-0.02499999999999991,194,214,False
CH,release_pos_z,sd,7.751795227176972,-10.167511328152662,29.689180424639623,0.422,0.9195757599681401,0.46732183194174026,-0.004752149586020438,194,214,False
CH,release_pos_z,iqr,-4.239401496259054,-21.495905410379162,28.166964777104862,0.917,0.9195757599681401,0.46732183194174026,-0.010312499999999725,194,214,False
CH,release_side_arm,sd,7.634591036203875,-7.566959212578683,25.19603550349378,0.333,0.40318527868474263,0.846815392940283,0.007043485013916551,194,214,False
CH,release_side_arm,iqr,-3.293807641633706,-25.373323736646746,27.437760258269705,0.845,0.40318527868474263,0.846815392940283,-0.0024999999999998725,194,214,False
CH,arm_angle,sd,5.763596717840702,-11.551689625786997,24.402714550801328,0.503,1.0710973753673665,0.3746826303524909,0.10396401874574579,194,214,False
CH,arm_angle,iqr,2.9504741833509707,-18.75860346358792,39.00134895877245,0.733,1.0710973753673665,0.3746826303524909,0.0700000000000017,194,214,False
CU,release_speed,sd,-2.4999919537950666,-17.15556403901394,14.230040714850526,0.757,0.31506686596059713,0.9040732688000803,-0.018031981201992675,181,156,False
CU,release_speed,iqr,6.593406593406836,-22.454287716615777,40.41419844502014,0.745,0.31506686596059713,0.9040732688000803,0.03333333333333144,181,156,False
CU,ivb,sd,-13.163343141661032,-24.72944773357569,0.2333890810135406,0.056,0.41652594128223375,0.8374544502521167,-0.15190969004035568,181,156,False
CU,ivb,iqr,-8.564814814814826,-24.107340391908945,27.27688470066514,0.765,0.41652594128223375,0.8374544502521167,3.552713678800501e-15,181,156,False
CU,hb_arm,sd,-1.8338927189001542,-14.650095264669172,13.645968436571367,0.798,0.3178785099553989,0.9023856892269005,-0.023518768416480818,181,156,False
CU,hb_arm,iqr,11.388888888888848,-17.44500314267758,41.87542229729727,0.528,0.3178785099553989,0.9023856892269005,0.23999999999999977,181,156,False
CU,release_spin_rate,sd,-12.482837576339579,-25.414749964296163,3.288398267326665,0.106,0.7578807043943666,0.5803519720538174,-1.9980500550393856,181,156,False
CU,release_spin_rate,iqr,-10.946132596685088,-35.37283001465608,9.198139985856917,0.221,0.7578807043943666,0.5803519720538174,-3.9375,181,156,False
CU,release_extension,sd,-0.9907363758396626,-14.500370690323761,14.672854252780349,0.888,0.206497433473418,0.9598131623511572,2.7895133256553944e-05,181,156,False
CU,release_extension,iqr,-16.666666666666618,-33.33333333333338,19.99999999999993,0.51,0.206497433473418,0.9598131623511572,0.0,181,156,False
CU,release_pos_z,sd,-3.2765825746602806,-18.220340622068584,15.098957903429145,0.686,0.5476649911762327,0.7401927477973602,-0.011376829250965467,181,156,False
CU,release_pos_z,iqr,5.000000000000138,-20.501612903225986,27.98191391941403,0.877,0.5476649911762327,0.7401927477973602,-0.00458333333333331,181,156,False
CU,release_side_arm,sd,10.120773419239493,-7.39317942025991,29.763891470694144,0.279,0.4331406504491296,0.8256365364198301,0.012118776903739045,181,156,False
CU,release_side_arm,iqr,-0.1453488372093248,-15.697834531539916,39.15497220229553,1.0,0.4331406504491296,0.8256365364198301,-0.0002500000000000391,181,156,False
CU,arm_angle,sd,-2.546094251330866,-19.092342979315667,17.241073315768787,0.807,0.5871051805186731,0.7099100725498897,0.12499311014643884,181,156,False
CU,arm_angle,iqr,2.8017241379310054,-18.561000631313146,32.772988505747016,0.835,0.5871051805186731,0.7099100725498897,-0.4875000000000007,181,156,False
FC,release_speed,sd,-6.17894410597053,-25.24050507221267,17.9924516213317,0.624,0.32886739091585776,0.8956631450307599,-0.06582185315503564,115,149,False
FC,release_speed,iqr,-6.9444444444448195,-29.487179487179592,30.00000000000001,0.712,0.32886739091585776,0.8956631450307599,-0.05000000000000284,115,149,False
FC,ivb,sd,-27.588556844532462,-39.41609685463464,-11.923621588029963,0.002,2.382936777328891,0.036927727921504575,-0.17718746002563313,115,149,True
FC,ivb,iqr,-32.85714285714284,-48.46888694127954,-6.896551724137911,0.012,2.382936777328891,0.036927727921504575,-0.20999999999999966,115,149,False
FC,hb_arm,sd,-16.899259480475905,-30.94079082644771,-0.18488369995471207,0.046,1.4366611099245874,0.20869620847416298,-0.07138288388916895,115,149,False
FC,hb_arm,iqr,-25.71428571428569,-49.019607843137244,7.147212543553979,0.114,1.4366611099245874,0.20869620847416298,-0.10499999999999976,115,149,False
FC,release_spin_rate,sd,-4.3875447626359865,-17.29077296873263,11.883752770351249,0.602,0.5704917206581717,0.7226792422136158,-0.16966359866916036,115,149,False
FC,release_spin_rate,iqr,-4.964539007092195,-26.018788890393818,30.588341987339074,0.826,0.5704917206581717,0.7226792422136158,2.6666666666666665,115,149,False
FC,release_extension,sd,-0.5867150820708322,-15.136765091470537,17.03380609237928,0.949,0.5973634010164851,0.7020149245841771,-0.00042960036906144474,115,149,False
FC,release_extension,iqr,0.0,-28.571428571428502,49.99999999999978,1.0,0.5973634010164851,0.7020149245841771,0.0,115,149,False
FC,release_pos_z,sd,-5.3838315668751076,-20.832304907915365,14.076157478172535,0.581,0.279577483667127,0.9243898461367949,-0.004287423334178142,115,149,False
FC,release_pos_z,iqr,-16.923076923076962,-35.93749999999994,8.411214953271017,0.17,0.279577483667127,0.9243898461367949,-0.016250000000000025,115,149,False
FC,release_side_arm,sd,3.1501946951301374,-13.977979528881601,24.326813687574354,0.729,0.44395372323597304,0.8178173290147595,0.013548446808272718,115,149,False
FC,release_side_arm,iqr,13.01939058171746,-17.860714285714298,56.33092067802556,0.48,0.44395372323597304,0.8178173290147595,0.029166666666666785,115,149,False
FC,arm_angle,sd,-1.6830616699846757,-17.243641850903156,18.040915411138116,0.868,0.7275129794985966,0.6029011737377137,-0.00020102363327545447,115,149,False
FC,arm_angle,iqr,4.942965779467645,-20.575683394532913,36.89426599563325,0.763,0.7275129794985966,0.6029011737377137,0.129999999999999,115,149,False
FF,release_speed,sd,3.6708000027116716,-6.695527044035828,14.549745196795108,0.502,0.8036068290312897,0.5469383118295376,0.015741021639650833,442,416,False
FF,release_speed,iqr,22.815533980583403,0.9006998069500194,47.489358872041095,0.036,0.8036068290312897,0.5469383118295376,0.08125000000000426,442,416,False
FF,ivb,sd,-7.931365318983885,-18.983513361011127,4.475276421760651,0.218,0.5882757891164115,0.7090179718668441,-0.037920808797504924,442,416,False
FF,ivb,iqr,5.494505494505719,-11.476986128625343,25.0000000000002,0.485,0.5882757891164115,0.7090179718668441,0.030000000000001137,442,416,False
FF,hb_arm,sd,-1.4019369965804218,-10.005512370851637,8.341792188501383,0.77,0.6336555050458416,0.6740768044215504,-0.027211941762456116,442,416,False
FF,hb_arm,iqr,-5.128205128205154,-17.546439628482993,14.076951951951921,0.751,0.6336555050458416,0.6740768044215504,-0.05999999999999783,442,416,False
FF,release_spin_rate,sd,-13.108471648378561,-21.073165756371328,-4.3617994653455545,0.003,2.507610796364105,0.028378767444514088,-2.1243532768258433,442,416,True
FF,release_spin_rate,iqr,-23.395797842135146,-33.61580963341081,-6.89751127586521,0.01,2.507610796364105,0.028378767444514088,-8.78125,442,416,False
FF,release_extension,sd,-3.8914576624917596,-12.851701876562602,5.605630127935982,0.429,0.9776384449707523,0.4299043956648052,0.002752176447344138,442,416,False
FF,release_extension,iqr,0.0,-33.333333333333336,19.99999999999993,0.775,0.9776384449707523,0.4299043956648052,0.0,442,416,False
FF,release_pos_z,sd,-12.319279382381666,-25.30953660855957,4.025958433945282,0.124,0.7227805797745376,0.6062927019300384,-0.021851497304995582,442,416,False
FF,release_pos_z,iqr,-0.9132420091325644,-15.5512414270016,17.527261411910942,0.998,0.7227805797745376,0.6062927019300384,-0.0010000000000001564,442,416,False
FF,release_side_arm,sd,4.7557287780849,-5.08189623632537,15.203296958581364,0.35,0.6206585545319678,0.6840745367144374,0.005932463268309485,442,416,False
FF,release_side_arm,iqr,2.964959568733172,-13.88969450889404,27.31453922683203,0.699,0.6206585545319678,0.6840745367144374,0.0033333333333332624,442,416,False
FF,arm_angle,sd,-1.7140707758367402,-14.113933677161864,13.17138777020131,0.85,0.5052725288542329,0.7724840700545611,-0.0996142035769001,442,416,False
FF,arm_angle,iqr,1.1535048802129078,-11.985173784289286,18.85965899862684,0.825,0.5052725288542329,0.7724840700545611,0.06666666666666761,442,416,False
FS,release_speed,sd,23.95062633510683,-13.598896793778664,77.60099591626252,0.203,0.47009163717373104,0.7983770970398373,0.09296286898872763,24,48,False
FS,release_speed,iqr,27.60942760942782,-25.457070707070816,148.8137755102034,0.378,0.47009163717373104,0.7983770970398373,0.1791666666666695,24,48,False
FS,ivb,sd,40.502665506700964,6.533030538340815,94.57295494242807,0.019,2.560699376608246,0.027892259413674687,0.20946321652979827,24,48,False
FS,ivb,iqr,28.63070539419088,-34.59707666850524,153.0349999999995,0.438,2.560699376608246,0.027892259413674687,0.36375,24,48,False
FS,hb_arm,sd,6.896547578486056,-28.735899759974636,76.4281935742918,0.717,0.3416631741380578,0.8872903545693962,0.020747696447885655,24,48,False
FS,hb_arm,iqr,29.896907216494807,-38.00845571873607,275.0000000000001,0.673,0.3416631741380578,0.8872903545693962,0.17399999999999985,24,48,False
FS,release_spin_rate,sd,22.243229402155727,-9.515445416822416,73.1217080388291,0.176,1.1939067044947216,0.31267385114513613,18.510347055041375,24,48,False
FS,release_spin_rate,iqr,-4.519912044954799,-28.773533884452778,193.809780119485,1.0,1.1939067044947216,0.31267385114513613,10.958333333333334,24,48,False
FS,release_extension,sd,11.35371348071963,-12.510621863926383,43.76096485673944,0.352,0.16119768077143568,0.9764202103126418,0.014173237227285931,24,48,False
FS,release_extension,iqr,-16.00000000000008,-45.83614864864866,42.8968253968253,0.58,0.16119768077143568,0.9764202103126418,-0.009375000000000133,24,48,False
FS,release_pos_z,sd,21.562830228558518,-18.36662220275398,83.72750700550743,0.336,0.18347505325430608,0.9686662765101073,0.014273236723732518,24,48,False
FS,release_pos_z,iqr,-7.3298429319373914,-43.69766791608736,94.47510822510863,0.977,0.18347505325430608,0.9686662765101073,-0.006666666666666821,24,48,False
FS,release_side_arm,sd,2.2754950284809894,-25.132611911164908,46.90558826256975,0.824,0.14063713808923425,0.9826133692002625,0.010106584426459545,24,48,False
FS,release_side_arm,iqr,8.42607313195547,-43.2655071484859,118.92636963252114,0.848,0.14063713808923425,0.9826133692002625,0.013249999999999984,24,48,False
FS,arm_angle,sd,81.55777612972497,23.34481360303714,179.34864751807896,0.003,2.3214596225253348,0.04380851413637165,1.0694292663850504,24,48,True
FS,arm_angle,iqr,42.1974522292994,-21.43212705436156,162.52432634730513,0.266,2.3214596225253348,0.04380851413637165,0.6937500000000014,24,48,False
SI,release_speed,sd,-11.606166111580352,-24.05708423327613,3.859693319573696,0.131,1.1093588087305217,0.35337022152519515,-0.07250117828258296,216,277,False
SI,release_speed,iqr,6.451612903225912,-21.12778862958776,42.007692307692146,0.686,1.1093588087305217,0.35337022152519515,0.0,216,277,False
SI,ivb,sd,-11.587501120917699,-27.249703143250787,7.445034543350788,0.243,0.3494789472178025,0.8827787908462348,-0.11196827253676603,216,277,False
SI,ivb,iqr,0.2785515320333998,-22.252625828718998,22.786618444846294,1.0,0.3494789472178025,0.8827787908462348,0.00374999999999992,216,277,False
SI,hb_arm,sd,-14.650838187293013,-33.497368837045336,8.333966948770671,0.193,1.2894844438595432,0.26574685973918105,-0.0968808719387857,216,277,False
SI,hb_arm,iqr,-15.555555555555555,-30.769230769230703,16.66666666666645,0.403,1.2894844438595432,0.26574685973918105,-0.08399999999999999,216,277,False
SI,release_spin_rate,sd,-12.162425924705945,-21.774419776164315,-0.4845652814827236,0.046,1.4204778552587563,0.21386143097887111,-3.521850285320918,216,277,False
SI,release_spin_rate,iqr,-13.795145056246295,-27.79010876228496,14.589438943894384,0.345,1.4204778552587563,0.21386143097887111,-4.75,216,277,False
SI,release_extension,sd,5.159257596862465,-9.154804851109724,21.756740378822272,0.486,0.2068200972539931,0.9597102117737671,0.004601588928643892,216,277,False
SI,release_extension,iqr,-16.666666666666618,-33.33333333333338,20.000000000000107,0.834,0.2068200972539931,0.9597102117737671,0.0,216,277,False
SI,release_pos_z,sd,-19.143417157296263,-41.64128404619017,15.782526455874018,0.246,1.2550554837702432,0.28098964656145864,-0.030426237645068577,216,277,False
SI,release_pos_z,iqr,-11.462450592885332,-27.778545119705463,9.094728800611081,0.231,1.2550554837702432,0.28098964656145864,-0.01625000000000032,216,277,False
SI,release_side_arm,sd,2.2731617309399654,-10.014173733815841,16.777670688114725,0.733,0.7179549287605849,0.6099590253803382,-0.006093202819279904,216,277,False
SI,release_side_arm,iqr,4.533333333333345,-13.762467512273169,29.417211328976034,0.555,0.7179549287605849,0.6099590253803382,-0.020000000000000018,216,277,False
SI,arm_angle,sd,-13.662038652284336,-35.59185397694614,17.37133875999912,0.357,0.5255287164476832,0.7571095387007842,-0.4624733399363148,216,277,False
SI,arm_angle,iqr,15.289982425307592,-14.326679307411347,42.26273748273307,0.38,0.5255287164476832,0.7571095387007842,0.16666666666666666,216,277,False
SLV,release_speed,sd,-0.9382825144225504,-14.198428040860446,13.9065588135005,0.905,0.4570164403847404,0.8084004051255943,-0.005895957910279659,329,383,False
SLV,release_speed,iqr,1.2658227848100445,-17.452242524916954,17.814402587518728,0.956,0.4570164403847404,0.8084004051255943,0.009999999999999431,329,383,False
SLV,ivb,sd,-8.359895752333625,-18.73977863744765,3.134305472081602,0.133,0.5112263414253311,0.7679793826742655,-0.04803549381970251,329,383,False
SLV,ivb,iqr,-7.500000000000007,-23.17073170731707,12.12121212121211,0.415,0.5112263414253311,0.7679793826742655,-0.07200000000000006,329,383,False
SLV,hb_arm,sd,13.65563541981123,4.2601378208786045,24.639640269616724,0.008,3.6827220293244296,0.0025396810422400255,0.09039658721293442,329,383,False
SLV,hb_arm,iqr,47.99999999999996,22.80502392344496,100.64226973684207,0.001,3.6827220293244296,0.0025396810422400255,0.4800000000000022,329,383,True
SLV,release_spin_rate,sd,-1.782922703173695,-10.728654401113296,9.295607131541004,0.77,0.2406965740371273,0.9444949912870971,-0.23990842347237162,329,383,False
