outcome,n_within,n_units,within_coef,within_se,within_p,between_coef,between_se,between_p,within_sig_fdr
whiff_pct,7690,2354,1.4259235818742995,0.3450893134414351,3.595544959447939e-05,1.7752332771063648,0.3358058507909159,1.2468764778008865e-07,True
csw_pct,7690,2354,0.5706370114935715,0.1886649071215284,0.002489572085047157,0.9117026348728181,0.18297756046849112,6.273795729329766e-07,True
rv100,7690,2354,0.023488348124093446,0.034080767215597815,0.4906995702899114,0.08422853536148192,0.020138930565795087,2.884811668075054e-05,False
xwobacon,7690,2354,-0.004556391772335617,0.001748276860708359,0.009154799852154538,-0.006449696307834101,0.0012211395567325734,1.2798864935872427e-07,True
