outcome,n,effect_p10_to_p90,p_joint_spline,r2,n_spline_terms
whiff_pct,9255,1.0472725613086311,0.0,0.7456171042982946,4
csw_pct,9255,0.5135518394863929,0.0,0.49704891704905396,4
rv100,9255,0.05575946959197853,0.0007126910675318205,0.11697648276764427,4
xwobacon,9255,-0.004711781663906622,0.0,0.7485101020198719,4
