outcome,n,n_batters,exposure_coef,exposure_se,exposure_p,pp_per_doubling,uniq_x_exposure_coef,uniq_x_exposure_p,window_days
is_whiff,1377350,830,-0.006687903635195442,0.000703453460501767,1.9578073455111923e-21,-0.463570154859233,,,15
is_whiff,1377350,830,-0.006482125431182872,0.0005277437416291868,1.1217114074331671e-34,-0.4493066966660328,,,60
