outcome,n,n_batters,exposure_coef,exposure_se,exposure_p,pp_per_doubling,uniq_x_exposure_coef,uniq_x_exposure_p,model,sig_fdr
is_whiff,1377350,830,-0.006687539977159403,0.000603257949543542,1.47185495785847e-28,-0.4635449480049961,,,main,True
is_csw,2896362,830,-0.003913717365955216,0.0004235907101449836,2.4791963063262382e-20,-0.2712782157720354,,,main,True
is_whiff,1228619,830,-0.002594263072663947,0.0011022567593653018,0.01859298892768075,-0.17982061344477956,-0.004853829967575686,0.012181171623026014,with_uniqueness_interaction,True
is_csw,2565224,830,-0.001042919056201239,0.0007902871272850068,0.18694486416076683,-0.0722896403358128,-0.004318623970389499,0.0026994469633642337,with_uniqueness_interaction,False
